ticket_id,description,category,priority,resolution
222,Shared mailbox not accessible in Outlook,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
223,Emails stuck in outbox on Ubuntu 22.04,Email,Low,Reconfigure Outlook profile and resync with Exchange server
224,Shared mailbox not accessible in Outlook,Email,Low,Reconfigure Outlook profile and resync with Exchange server
225,Unable to send emails via corporate Exchange server,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
226,Unable to send emails via corporate Exchange server,Email,High,Reconfigure Outlook profile and resync with Exchange server
227,Unable to send emails via corporate Exchange server,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
228,Shared mailbox not accessible in Outlook,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
229,Emails stuck in outbox on Ubuntu 22.04,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
230,Emails stuck in outbox on Windows 10,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
231,Emails stuck in outbox on Ubuntu 22.04,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
232,Microsoft Teams meeting invites not syncing,Email,High,Reconfigure Outlook profile and resync with Exchange server
233,Outlook application crashing on startup,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
234,Emails stuck in outbox on Ubuntu 22.04,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
235,Outlook application crashing on startup,Email,High,Reconfigure Outlook profile and resync with Exchange server
236,Microsoft Teams meeting invites not syncing,Email,Low,Reconfigure Outlook profile and resync with Exchange server
237,Shared mailbox not accessible in Outlook,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
238,Unable to send emails via corporate Exchange server,Email,Low,Reconfigure Outlook profile and resync with Exchange server
239,Unable to send emails via corporate Exchange server,Email,Medium,Reconfigure Outlook profile and resync with Exchange server
240,Emails stuck in outbox on MacOS Ventura,Email,Low,Reconfigure Outlook profile and resync with Exchange server
241,Access denied to shared network drive,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
242,File server access restricted unexpectedly,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
243,Access denied to shared network drive,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
244,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
245,Permission error while accessing SharePoint site,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
246,User unable to access HR portal,Access Control,High,Grant appropriate permissions and verify role-based access control settings
247,Unauthorized access error in internal application,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
248,User unable to access HR portal,Access Control,High,Grant appropriate permissions and verify role-based access control settings
249,Permission error while accessing SharePoint site,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
250,Unauthorized access error in internal application,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
251,Access denied to shared network drive,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
252,Permission error while accessing SharePoint site,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
253,Permission error while accessing SharePoint site,Access Control,High,Grant appropriate permissions and verify role-based access control settings
254,Access denied to shared network drive,Access Control,High,Grant appropriate permissions and verify role-based access control settings
255,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
256,File server access restricted unexpectedly,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
257,File server access restricted unexpectedly,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
258,User unable to access HR portal,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
259,File server access restricted unexpectedly,Access Control,High,Grant appropriate permissions and verify role-based access control settings
260,Unauthorized access error in internal application,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
261,User unable to access HR portal,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
262,User unable to access HR portal,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
263,Access denied to shared network drive,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
264,Unauthorized access error in internal application,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
265,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
266,File server access restricted unexpectedly,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
267,Access denied to shared network drive,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
268,User unable to access HR portal,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
269,User unable to access HR portal,Access Control,High,Grant appropriate permissions and verify role-based access control settings
270,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
271,Unauthorized access error in internal application,Access Control,High,Grant appropriate permissions and verify role-based access control settings
272,Permission error while accessing SharePoint site,Access Control,High,Grant appropriate permissions and verify role-based access control settings
273,File server access restricted unexpectedly,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
274,User unable to access HR portal,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
275,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
276,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
277,Access denied to shared network drive,Access Control,High,Grant appropriate permissions and verify role-based access control settings
278,User unable to access HR portal,Access Control,High,Grant appropriate permissions and verify role-based access control settings
279,File server access restricted unexpectedly,Access Control,High,Grant appropriate permissions and verify role-based access control settings
280,Access denied to shared network drive,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
281,User unable to access HR portal,Access Control,High,Grant appropriate permissions and verify role-based access control settings
282,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
283,Permission error while accessing SharePoint site,Access Control,High,Grant appropriate permissions and verify role-based access control settings
284,Permission error while accessing SharePoint site,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
285,Unauthorized access error in internal application,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
286,User unable to access HR portal,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
287,File server access restricted unexpectedly,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
288,Unauthorized access error in internal application,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
289,Permission error while accessing SharePoint site,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
290,File server access restricted unexpectedly,Access Control,Medium,Grant appropriate permissions and verify role-based access control settings
291,File server access restricted unexpectedly,Access Control,High,Grant appropriate permissions and verify role-based access control settings
292,Permission error while accessing SharePoint site,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
293,File server access restricted unexpectedly,Access Control,High,Grant appropriate permissions and verify role-based access control settings
294,Unauthorized access error in internal application,Access Control,Low,Grant appropriate permissions and verify role-based access control settings
